gsmc,gzdd,gxsj,zwmc,zwyx
趣行天下(北京)网络技术有限公司,北京,12-16,资深剧情策划（游戏）腾讯平台,6001-8000
北京天平地成信息技术服务有限公司,北京,12-16,大数据算法工程师,15001-20000
北京数浩科技有限公司,北京,12-16,ETL开发工程师（informatica方向）,10001-15000
北京游奕互动软件有限公司,北京 - 朝阳区,12-16,游戏策划（数值、系统、文案）,8001-10000
北京游奕互动软件有限公司,北京 - 朝阳区,12-16,游戏测试QA,4001-6000
北京游奕互动软件有限公司,北京 - 朝阳区,12-16,客户端程序工程师,10001-15000
北京昆仑联通科技发展股份有限公司,北京,12-16,微软NET开发,10000-20000
北京昆仑联通科技发展股份有限公司,北京,12-16,驻场开发工程师,8001-10000
北京哟哈科技股份有限公司,北京,12-16,电商网页设计,7000-9000
北京腾悦恒辉展览展示有限责任公司,北京 - 丰台区,12-16,C++算法开发工程师,10001-15000
北京我易家网络科技发展有限公司,北京 - 丰台区,12-16,C++三维图形算法开发工程师,10001-15000
北京翼聚源软件科技有限公司,北京,12-16,JAVA工程师,10001-15000
靓车会,北京 - 丰台区,12-16,PHP软件工程师,8000-12000
和信电子商务有限公司,北京,12-16,JAVA开发工程师,10000-20000
和信电子商务有限公司,北京,12-16,PHP开发工程师,10001-15000
北京复方科技有限公司,北京 - 海淀区,12-16,JAVA开发工程师,13000-21000
北京恒荣汇彬保险代理股份有限公司,北京,12-16,高级架构师,23000-45000
Michael Page,北京,12-16,公共关系行业著名公司-大数据工程师,面议
Michael Page,北京,12-16,全球领先移动互联网开发商-后端研发⼯工程师,面议
Michael Page,北京,12-16,全球领先移动互联网开发商-后端研发经理,面议
华信永益(北京)信息技术有限公司,北京 - 海淀区,12-16,高级UI设计,10001-15000
北京复方科技有限公司,北京 - 海淀区,12-16,hadoop数据开发工程师,15001-20000
华信永益(北京)信息技术有限公司,北京 - 海淀区,12-16,.net开发工程师,10001-15000
华信永益(北京)信息技术有限公司,北京,12-16,诚聘中高级UI设计师0014,10000-16000
北京精友时代信息技术发展有限公司,北京 - 海淀区,12-16,架构师（前端）,15000-30000
Michael Page,北京,12-16,知名互联网公司-Web 前端开发工程师,面议
Michael Page,北京,12-16,知名互联网公司-推荐算法工程师,面议
用友能源科技有限公司,北京 - 海淀区,12-16,高级JAVA工程师,15001-20000
用友能源科技有限公司,北京,12-16,高级开发工程师,20001-30000
Michael Page,北京,12-16,知名教育培训互动平台-音视频开发工程师,面议
Michael Page,北京,12-16,知名教育培训互动平台/智能硬件公司-NLP 研发工程师,面议
北京数途科技有限公司,北京 - 海淀区,12-16,java开发工程师,3000-4499
Michael Page,北京,12-16,知名美资互联网公司-资深UI JAVA搜索/Lead JAVA搜索,面议
Michael Page,北京,12-16,知名教育培训互动平台-高级服务器端开发工程师,面议
Michael Page,北京,12-16,知名美资互联网公司-Hadoop运维工程师,面议
Michael Page,北京,12-16,知名美资互联网公司-资深Linux c++开发工程师,面议
Michael Page,北京,12-16,知名美资互联网公司-RPT Data Foundation-Hadoop底层开发,面议
北京恒益九州网络科技有限公司,北京 - 朝阳区,12-16,php开发工程师,10001-15000
北京恒益九州网络科技有限公司,北京 - 朝阳区,12-16,Java工程师,10001-15000
赛诺营销顾问有限公司,北京 - 朝阳区,12-16,图像算法工程师,10000-20000
宁波游心信息科技发展有限公司北京分公司,北京,12-16,高级PHP开发工程师,20001-30000
北京航星永志科技有限公司,北京 - 昌平区,12-16,.net工程师,10001-15000
北京航星永志科技有限公司,北京 - 昌平区,12-16,Delphi高级研发工程师,10001-15000
北京汇众嘉悦信息咨询有限公司,北京,12-16,Technical Support Engineer,15001-20000
北京蚂蚁互动网络科技有限公司,北京 - 朝阳区,12-16,关卡策划,10001-15000
北京蚂蚁互动网络科技有限公司,北京 - 朝阳区,12-16,数值策划,10001-15000
北京蚂蚁互动网络科技有限公司,北京 - 朝阳区,12-16,系统策划,10001-15000
北京蚂蚁互动网络科技有限公司,北京 - 朝阳区,12-16,Unity 客户端程序,15000-30000
北京蚂蚁互动网络科技有限公司,北京 - 朝阳区,12-16,服务器程序,15000-30000
中外建(北京)投资基金管理有限公司,北京 - 朝阳区,12-16,中级前端开发工程师,15001-20000
厚纳(北京)文化科技股份有限公司,北京 - 通州区,12-16,DBA工程师,8001-10000
中外建(北京)投资基金管理有限公司,北京 - 朝阳区,12-16,java中级开发工程师,15001-20000
北京万事互联科技有限公司,北京,12-16,H5工程师,10001-15000
北京蓝光引力网络股份有限公司,北京,12-16,高级视觉设计师,8001-10000
北京海誉动想科技股份有限公司,北京,12-16,Web高级开发工程师,20001-30000
趣行天下(北京)网络技术有限公司,北京,12-16,文案策划（游戏）,6001-8000
趣行天下(北京)网络技术有限公司,北京,12-16,游戏文案策划(腾讯平台),4000-8000
北京智软英才管理咨询有限公司,北京,12-16,基础架构资深工程师（容器 MQ 通信框架 存储）,30001-60001
微软在线,北京,12-16,Software Development Engineer,15001-20000
北京今达标正软件开发有限公司,北京 - 朝阳区,12-16,Java 开发工程师,7000-12000
北京汇众嘉悦信息咨询有限公司,北京,12-16,数据库工程师,15001-20000
中国铁道科学研究院电子计算技术研究所,北京,12-16,铁路运输应用需求分析师,8001-10000
百度在线网络技术(北京)有限公司 ,北京,12-16,百度语音技术部_语音技术研发工程师,20001-30000
北京神州新桥科技有限公司,北京,12-16,中级测试工程师（外包）,6000-10000
华财新兴控股有限公司,北京,12-16,Android开发工程师,10001-15000
北京思界时代娱乐文化有限公司,北京 - 东城区,12-16,Unity手游研发,6001-8000
北京开拓明天科技股份有限公司,北京 - 海淀区,12-16,急聘Java中级软件工程师,8001-10000
北京开拓明天科技股份有限公司,北京 - 海淀区,12-16,java高级软件开发工程师,15001-20000
北京金储自动化技术有限公司,北京 - 海淀区,12-16,嵌入式软件工程师,8001-10000
北京茑萝信息技术有限公司,北京 - 朝阳区,12-16,手机APP测试（实训生）,4001-6000
北京因脉科技有限公司,北京 - 朝阳区,12-16,Java高级工程师,10001-15000
北京艾斯克雷科技有限责任公司,北京,12-16,java 开发,15001-20000
北京艾斯克雷科技有限责任公司,北京,12-16,PHP工程师,10001-15000
北京左手网络科技有限公司,北京,12-16,C/C++,12000-20000
北京左手网络科技有限公司,北京 - 朝阳区,12-16,.net开发工程师,10001-15000
北京绘植匠科技有限公司,北京,12-16,.net开发工程师,10001-15000
北京绘植匠科技有限公司,北京,12-16,C++组长,20001-30000
北京华泓科技股份有限公司,北京,12-16,高级开发工程师,15000-25000
北京旋极集团,北京,12-16,BJ-05025 高级软件工程师,10001-15000
北京旋极集团,北京,12-16,嵌入式软件工程师（BJ—LHXB）,8000-15000
北京智软英才管理咨询有限公司,北京,12-16,C++资深架构工程师(搜索引擎和分布式系统),40001-80000
北京旋极集团,北京 - 海淀区,12-16,系统集成工程师-Labview方向（BJ-02003）,8001-10000
北京旋极集团,北京,12-16,BJ-02015 软件工程师（vc、c#方向）,10001-15000
北京旋极集团,北京,12-16,BJ-02015 软件工程师,10001-15000
搜狗公司,北京 - 海淀区,12-16,技术工程部-资深硬件评测工程师-北京-01888,15000-30000
北京华路时代信息技术有限公司,北京,12-16,.net工程师,12000-16000
北京农发福地实业有限公司,北京 - 朝阳区,12-16,网页设计/制作/美工，电商美工,8001-10000
莱诺斯科技(北京)股份有限公司,北京,12-16,C++开发工程师,10001-15000
北京中奥通宇科贸有限公司,北京,12-16,PHP开发工程师 电商,8000-15000
北京维幄通达网络科技有限公司,北京 - 朝阳区,12-16,ruby开发工程师/高级技术工程师/软件研发工程师/ruby on rails,15000-25000
北京金软瑞彩科技有限公司,北京 - 海淀区,12-16,产品经理（48小时）,8000-13000
北京金软瑞彩科技有限公司,北京,12-16,资深JAVA工程师,15001-20000
北京北语大教育科技有限公司,北京 - 海淀区,12-16,软件工程师（北京语言大学信息中心招聘）,4000-8000
北京同创天航科技有限公司,北京,12-16,单片机软件工程师,8000-16000
北京同创天航科技有限公司,北京,12-16,算法工程师,10000-20000
北京华正明天信息技术股份有限公司,北京,12-16,急求高薪需求分析,10001-15000
北京乐遨网络科技有限公司,北京 - 朝阳区,12-16,Java游戏服务器开发工程师,15000-25000
典基网络科技(上海)有限公司,北京,12-16,C/C++软件工程师,15000-30000
典基网络科技(上海)有限公司,北京,12-16,FLEX研发工程师,10000-20000
北京凯拉斯信息技术有限公司,北京,12-16,高级开发工程师,10001-15000
北京思瑞泰格软件技术有限公司,北京,12-16,系统集成销售、软件销售、硬件销售,6001-8000
北京凯拉斯信息技术有限公司,北京,12-16,Java中级开发工程师,8001-10000
北京恒升科创科技有限公司,北京 - 海淀区,12-16,后台开发工程师实习,3000-5000
北京趣购互动网络技术有限公司,北京,12-16,php高级软件工程师,15001-20000
北京恒升科创科技有限公司,北京 - 海淀区,12-16,前端开发工程师实习,3000-5000
北京全维车联信息科技有限公司,北京 - 昌平区,12-16,IOS开发工程师,6000-12000
河南奇酷信息技术有限公司,北京 - 昌平区,12-16,【应届 零基础 带薪实习】VR虚拟现实工程师,6001-8000
天信达信息技术有限公司,北京,12-16,UI设计师,8001-10000
北京天平地成信息技术服务有限公司,北京,12-16,UI/UE设计师,8001-10000
北京天平地成信息技术服务有限公司,北京,12-16,初级JAVA工程师,6001-8000
北京天平地成信息技术服务有限公司,北京,12-16,高级JAVA工程师,10001-15000
北京万脉天和管理咨询有限公司,北京 - 朝阳区,12-16,高薪诚聘高级JAVA开发工程师,10001-15000
赢时胜软件,北京,12-16,Web前端开发,10001-15000
卓望信息技术(北京)有限公司,北京,12-16,数据库开发工程师(001972),10001-15000
北京国电通网络技术有限公司,北京 - 丰台区,12-16,高级Hadoop开发工程师,10000-20000
北京唐诚朗风科技有限公司,北京,12-16,C++/C#高级工程师（军工）,15000-25000
北京千医健康管理有限公司,北京,12-16,JAVA开发工程师,10001-15000
北京金石威视科技发展有限公司,北京,12-16,C++开发工程师,8001-10000
北京神奇时代网络有限公司,北京,12-16,3D引擎高级工程师,10001-15000
北京卡帕传媒信息技术有限公司,北京,12-16,后端.net开发工程师,8001-10000
北京思诺博信息技术股份有限公司,北京,12-16,人力资源系统实施顾问,10000-20000
竞优信息技术(上海)有限公司北京分公司,北京,12-16,C#软件开发工程师,10001-15000
北京全维车联信息科技有限公司,北京 - 昌平区,12-16,安卓开发师,8000-15000
北京亿迅科技发展有限公司,北京 - 海淀区,12-16,手机游戏java服务器,15001-20000
北京亿迅科技发展有限公司,北京 - 海淀区,12-16,手游U3D客户端工程师,20001-30000
易宝电脑系统（北京）有限公司,北京,12-16,项目实施工程师,8001-10000
易宝电脑系统（北京）有限公司,北京,12-16,JAVA高级开发工程师,10001-15000
易宝电脑系统（北京）有限公司,北京,12-16,Web前端开发工程师,10001-15000
易宝电脑系统（北京）有限公司,北京,12-16,高级项目实施工程师/项目经理,10001-15000
北京原能细胞生物科技有限公司,北京,12-16,软件开发工程师,8001-10000
米诺国际能源服务(北京)有限公司,北京 - 海淀区,12-16,JAVA资深工程师,10001-15000
北京志远讯杰技术有限公司,北京 - 昌平区,12-16,北大青鸟招聘web前端讲师,10001-15000
北京志远讯杰技术有限公司,北京,12-16,python自动化运维讲师(北大青鸟昌平天安门校区),15001-20000
北京联众智芯科技有限公司,北京,12-16,软件开发人员招聘2人（地点：北京）,10001-15000
北京天融信科技股份有限公司,北京,12-16,安全知识研发工程师,10001-15000
北京联众智芯科技有限公司,北京,12-16,系统和应用工程师（资深）（地点：北京）,10001-15000
北京三源合众科技有限公司,北京,12-16,OSG图形开发工程师,8001-10000
北京中数创新科技股份有限公司,北京,12-16,JAVA软件工程师,13000-20000
北京惠朗时代科技有限公司,北京,12-16,Java软件工程师,8001-10000
北京惠朗时代科技有限公司,北京,12-16,c++软件工程师,8001-10000
北京惠朗时代科技有限公司,北京,12-16,ocr工程师,30001-50000
北京惠朗时代科技有限公司,北京,12-16,.net工程师,20001-30000
用友网络科技股份有限公司,北京,12-16,安全架构师,18000-30000
北京壹零叁玖科技发展有限公司,北京,12-16,首席技术官,15000-30000
北京全维车联信息科技有限公司,北京 - 昌平区,12-16,PHP工程师,13000-26000
云软创新(北京)科技有限公司,北京,12-16,项目经理助理+五险一金+住宿,6001-8000
北京北语大教育科技有限公司,北京,12-16,.NET开发工程师,5500-11000
中驰车福联合电子商务(北京)有限公司,北京,12-16,高级Java工程师-金融支付方向,15001-20000
中驰车福联合电子商务(北京)有限公司,北京 - 海淀区,12-16,中级Java工程师,10001-15000
中驰车福联合电子商务(北京)有限公司,北京,12-16,中级Java工程师-电商平台,10001-15000
中驰车福联合电子商务(北京)有限公司,北京,12-16,Web前端工程师（中高级）,10001-15000
中驰车福联合电子商务(北京)有限公司,北京,12-16,高级Java工程师-电商平台,15001-20000
北京当当科文电子商务有限公司,北京 - 朝阳区,12-16,高级Java开发工程师,15000-27000
北京友通上昊科技有限公司,北京 - 大兴区,12-16,.NET软件工程师（WPF）,10000-20000
北京友通上昊科技有限公司,北京 - 大兴区,12-16,图像算法工程师（大兴-亦庄）,10001-15000
北京指南针航空服务有限公司,北京,12-16,JAVA高级工程师,10001-15000
北京上善健桥健康管理中心,北京 - 朝阳区,12-16,.NET 软件开发,15001-20000
北京公瑾科技有限公司,北京 - 海淀区,12-16,高级软件工程师（java）,15000-25000
北京知达客信息技术有限公司,北京 - 朝阳区,12-16,java开发工程师--Li,10001-15000
中驰车福联合电子商务(北京)有限公司,北京,12-16,高级Java工程师,20001-30000
中驰车福联合电子商务(北京)有限公司,北京,12-16,java开发工程师（金融）,10001-15000
中驰车福联合电子商务(北京)有限公司,北京,12-16,美工,8001-10000
国龙投资(北京)有限公司,北京,12-16,高级Java开发工程师,10000-20000
北京华夏电通科技有限公司,北京 - 海淀区,12-16,java软件开发工程师,8001-10000
北京华夏电通科技有限公司,北京 - 海淀区,12-16,前端开发工程师,8001-10000
北京鼎智诚科技发展有限公司,北京,12-16,网站美工,4001-6000
北京鼎智诚科技发展有限公司,北京,12-16,php程序员,4001-6000
北京思诺博信息技术股份有限公司,北京,12-16,产品开发经理,9000-18000
北京知达客信息技术有限公司,北京 - 海淀区,12-16,java开发工程师——Li,10001-15000
北京妙创意科技有限公司,北京 - 朝阳区,12-16,资深网页设计师,10001-15000
出门问问,北京,12-16,java研发工程师,15000-25000
北京凝思软件股份有限公司,北京,12-16,云平台测试工程师,6000-12000
北京正有网络通信技术股份有限公司,北京,12-16,网管软件开发工程师（应届本科毕业生）,6000-10000
北京海尔广科数字技术有限公司,北京,12-16,JAVA开发工程师,15001-20000
北京海尔广科数字技术有限公司,北京,12-16,C/C++开发工程师,15001-20000
北京北极风科技有限公司,北京 - 西城区,12-16,产品助理,6001-8000
北京北极风科技有限公司,北京 - 西城区,12-16,安卓开发师,10001-15000
中车信息技术有限公司,北京,12-16,大数据平台开发工程师（中高级）,15001-20000
中车信息技术有限公司,北京,12-16,嵌入式技术经理,15001-20000
中车信息技术有限公司,北京,12-16,java开发工程师（公共技术部）,10001-15000
中车信息技术有限公司,北京,12-16,java开发 (新技术研究院),13000-18000
中车信息技术有限公司,北京,12-16,嵌入式开发工程师（嵌入式产品开发部）,15001-20000
中宏经视(北京)文化传媒有限责任公司,北京 - 丰台区,12-16,UI设计师兼美编,8000-10000
阿里巴巴集团,北京,12-16,高德-算法高级工程师/架构师,面议
北京知达客信息技术有限公司,北京 - 朝阳区,12-16,java工程师-Li,10001-15000
北京智控美信信息技术有限公司,北京,12-16,前端开发工程师（HTML5）,10001-15000
北京智控美信信息技术有限公司,北京,12-16,java web开发工程师,8001-10000
北京智控美信信息技术有限公司,北京,12-16,Web高级工程师,8001-10000
北京水木源华电气股份有限公司,北京 - 海淀区,12-16,软件研发工程师,10001-15000
北京商询科技有限公司,北京 - 朝阳区,12-16,Java,10001-15000
北京的卢深视科技有限公司,北京,12-16,软件开发工程师,10000-20000
北京京华华电数码科技有限公司,北京,12-16,需求分析工程师,8001-10000
北京思创宏拓科技发展有限公司,北京,12-16,.net开发,1000元以下
北京的卢深视科技有限公司,北京,12-16,高级软件开发工程师,20001-30000
汽车之家 ,北京 - 海淀区,12-16,高级数据分析师,30001-50000
Antal International,北京,12-16,计算机视觉算法工程师,30001-50000
北京万山兴业科技有限公司,北京,12-16,中级网络工程师,8001-10000
北京万山兴业科技有限公司,北京,12-16,信息安全运维工程师,10001-15000
北京万山兴业科技有限公司,北京,12-16,网络工程师,8001-10000
北京万山兴业科技有限公司,北京,12-16,驻场运维工程师,6001-8000
汽车之家 ,北京 - 海淀区,12-16,Web前端开发工程师,15001-20000
Antal International,北京,12-16,点云算法开发工程师,30001-50000
汽车之家 ,北京 - 海淀区,12-16,数据系统开发工程师,20001-30000
北京越想象国际科贸发展有限公司,北京,12-16,Python开发工程师,15001-20000
Antal International,北京,12-16,三维研发工程师,30001-50000
华信永益(北京)信息技术有限公司,北京,12-16,UI设计师,10001-15000
随行付支付有限公司,北京,12-16,高级Android开发工程师,15000-25000
北京百容千域软件技术开发有限责任公司,北京 - 海淀区,12-16,JS工程师,15000-25000
仁爱老年产业有限责任公司,北京,12-16,高级软件工程师,15000-25000
北京悦华国际贸易有限公司,北京,12-16,C++开发工程师,8000-15000
上海岱嘉医学信息系统有限公司,北京 - 丰台区,12-16,C++工程师,10001-15000
随行付支付有限公司,北京,12-16,高级iOS开发工程师,15000-25000
上海鑫磊信息技术有限公司北京办事处,北京,12-16,WEB前端开发工程师/sencha touch技术,8001-10000
北京成才教育科技有限公司,北京 - 石景山区,12-16,UI讲师（老师）,10001-15000
仁爱老年产业有限责任公司,北京,12-16,系统架构工程师,20000-30000
北京英福泰克工程技术有限公司,北京,12-16,C#软件工程师,10001-15000
北京英福泰克工程技术有限公司,北京,12-16,高级软件工程师(C#),6001-8000
北京猎豹移动科技有限公司,北京,12-16,PHP工程师,20001-30000
仁爱老年产业有限责任公司,北京,12-16,嵌入式软件工程师,10000-20000
北京万古科技股份有限公司,北京,12-16,初级测试工程师,10001-15000
深圳未来大数据服务有限公司,北京,12-16,UI/UE设计师,10001-15000
深圳未来大数据服务有限公司,北京,12-16,web前端开发工程师,15000-25000
北京成才教育科技有限公司,北京 - 石景山区,12-16,​安卓讲师（专业主任）,20001-30000
浪潮集团有限公司 ,北京,12-16,SKA天文应用优化高级工程师,10001-15000
浪潮集团有限公司 ,北京,12-16,openstack架构师,30001-50000
北京旭日神州科技有限公司,北京,12-16,高级JAVA开发工程师,10001-15000
北京蓝智纵横科技有限公司,北京,12-16,unity3D开发工程师,6001-8000
乐普(北京)医疗器械股份有限公司,北京,12-16,高级软件开发工程师（C# 客户端方向）,20001-30000
烽台科技(北京)有限公司,北京,12-16,SOC产品研发,30001-50000
拓天伟业(北京)资产管理有限公司,北京,12-16,Java,15000-30000
北京艾平弗雷食品有限公司,北京,12-16,web前端工程师,10001-15000
浪潮集团有限公司 ,北京,12-16,存储软件开发系统工程师（SE）,50000元以上
北京艾平弗雷食品有限公司,北京,12-16,web前端工程师,10001-15000
浪潮集团有限公司 ,北京,12-16,存储软件开发系统工程师（SE）,50000元以上
浪潮集团有限公司 ,北京,12-16,存储软件开发中级工程师,15001-20000
浪潮集团有限公司 ,北京,12-16,存储软件开发高级工程师,30001-50000
浪潮集团有限公司 ,北京,12-16,存储软件系统架构师,50000元以上
北京云丛网络科技有限公司,北京,12-16,安卓开发实习生,3000-5000
华闻传媒投资集团股份有限公司北京投资咨询分公司,北京,12-16,java架构工程师,15000-30000
北京汇医在线科技有限公司,北京,12-16,Java PACS工程师,10000-18000
浪潮集团有限公司 ,北京,12-16,java开发工程师,10000-12000
北京智慧星光信息技术有限公司,北京,12-16,Mysql数据库工程师,15001-20000
北京乐驾科技有限公司,北京,12-16,自然语言处理工程师,15001-20000
北京当当科文电子商务有限公司,北京,12-16,高级架构师,25000-35000
北京和佳软件技术有限公司,北京 - 海淀区,12-16,移动端研发经理（微信）,20001-30000
伯乐易才(北京)管理咨询有限公司,北京,12-16,快递业务-架构师（java）,25000-35000
微软(中国)有限公司,北京 - 海淀区,12-16,安全开发工程师,30000-50000
北京燕文物流有限公司,北京 - 朝阳区,12-16,中级软件测试工程师,8001-10000
拓天伟业(北京)资产管理有限公司,北京,12-16,web前端开发,15000-30000
北京邦天聚米信息技术有限公司,北京 - 朝阳区,12-16,JAVA高级工程师/架构师,20001-30000
北京邦天聚米信息技术有限公司,北京 - 朝阳区,12-16,JAVA开发工程师,12000-18000
北京博奥中成信息科技有限责任公司,北京,12-16,.net开发工程师,6000-12000
北京魔方无限科技有限公司,北京,12-16,数值策划,15001-20000
北京华夏旷安科技股份有限公司,北京,12-16,三维gis研发工程师,15000-25000
航天图景(北京)科技有限公司,北京,12-16,深度学习算法工程师,8000-15000
北京安德尔国际软件有限公司,北京,12-16,php软件工程师（兼职）,2001-4000
北京燕文物流有限公司,北京 - 朝阳区,12-16,高级软件测试工程师,12000-18000
常州伯文软件科技有限公司,北京,12-16,C/C++软件开发工程师,15001-20000
北京思聆教育科技有限公司,北京,12-16,自然语言处理（NLP）工程师,20000-30000
北京数字空间科技有限公司,北京 - 朝阳区,12-16,GIS-CS开发工程师,15000-25000
北京数字空间科技有限公司,北京 - 朝阳区,12-16,数据处理工程师,4000-8000
艾驿云游文化传媒有限公司,北京,12-16,后端工程师,15000-30000
中国电信集团系统集成有限责任公司,北京,12-16,大数据研发工程师,10001-15000
星河互联集团有限公司,北京,12-16,python 工程师--星河易股,15001-20000
北京菜篮子大数据科技有限公司,北京,12-16,系统架构师,20001-30000
北京知多星科技有限公司,北京,12-16,高级web前端工程师,15000-25000
北京维泰明辉信息技术有限公司,北京,12-16,WEB前端页面开发人员,8001-10000
太极智旅信息技术有限公司北京分公司,北京,12-16,java高级开发工程师,10001-15000
北京天太世统科技有限公司,北京 - 东城区,12-16,高级java开发工程师,10001-15000
北京魔都教育科技有限公司,北京 - 昌平区,12-16,web前端培训讲师,10000-20000
沐金农(北京)科技有限公司,北京,12-16,数据挖掘建模工程师,20001-30000
沐金农(北京)科技有限公司,北京,12-16,大数据系统工程师,20001-30000
沐金农(北京)科技有限公司,北京,12-16,测试工程师实习生,2001-4000
沐金农(北京)科技有限公司,北京,12-16,数据模型师,20001-30000
360企业安全,北京,12-16,高级研发工程师,20001-30000
沐金农(北京)科技有限公司,北京,12-16,JAVA高级开发工程师,15000-30000
沐金农(北京)科技有限公司,北京,12-16,数据挖掘工程师,25000-40000
星河互联集团有限公司,北京,12-16,HTML5工程师--星河易股,15001-20000
南京汇龙科技有限公司,北京 - 海淀区,12-16,JAVA开发工程师,10001-15000
北京中地时空数码科技有限公司,北京,12-16,研发工程师,10001-15000
华闻传媒投资集团股份有限公司北京投资咨询分公司,北京,12-16,技术总监（工作地点：重庆南岸区）,15000-30000
北京菜篮子大数据科技有限公司,北京,12-16,大数据架构师,30001-50000
北京美云集网络科技有限责任公司,北京,12-16,java web高级工程师,7000-14000
航天神舟智慧系统技术有限公司,北京,12-16,开发工程师,6000-10000
航天神舟智慧系统技术有限公司,北京,12-16,体系架构方案工程师,6000-10000
航天神舟智慧系统技术有限公司,北京,12-16,高级开发工程师,15001-20000
航天神舟智慧系统技术有限公司,北京,12-16,体系架构设计工程师,6000-12000
航天神舟智慧系统技术有限公司,北京,12-16,数据库开发工程师,8000-14000
航天神舟智慧系统技术有限公司,北京,12-16,开发工程师,10001-15000
北京四三九九信息科技有限公司,北京,12-16,手游服务端开发工程师,10001-15000
北京四三九九信息科技有限公司,北京 - 海淀区,12-16,高级u3d开发,12000-20000
北京青云互动科技有限公司,北京,12-16,客户端开发(手游）,10001-15000
北京七彩柠檬科技有限公司,北京,12-16,unity3D高级软件工程师,15000-30000
北京青云互动科技有限公司,北京,12-16,客户端高级开发(手游),15001-20000
北京蜜柚互动科技有限公司,北京,12-16,高级Unity3d研发工程师-偏图形方向,20000-25000
北京天助盈通技术有限公司,北京,12-16,医学影像高级开发工程师,15001-20000
北京财富邦投资服务有限公司,北京,12-16,Java软件工程师,8001-10000
北京尚水信息技术股份有限公司,北京,12-16,资深软件交互设计师,10000-15000
北京青云互动科技有限公司,北京,12-16,客户端主程（手游）,20001-30000
北京格上理财顾问有限公司,北京,12-16,中级web前端工程师,8000-15000
百乐百惠商贸(北京)有限公司,北京,12-16,美工设计/京东设计/天猫设计/淘宝设计/网页设计/平面设计师,4000-8000
中科软科技股份有限公司,北京,12-16,java软件开发工程师——金融保险方向,8001-10000
河北好望角物流发展有限公司,北京,12-16,测试工程师,15001-20000
达达辛巴达(北京)科技有限公司,北京 - 海淀区,12-16,测试经理-北京-00240,10001-15000
河北好望角物流发展有限公司,北京,12-16,web前端开发工程师,10001-15000
河北好望角物流发展有限公司,北京,12-16,JAVA开发工程师,10001-15000
北京康顾多健康科技有限公司,北京,12-16,Java开发工程师,15001-20000
山东创德软件技术有限公司,北京,12-16,Oracle OAF 开发,8000-16000
华文杏坛(北京)教育科技有限公司,北京 - 海淀区,12-16,项目经理,10000-20000
华文杏坛(北京)教育科技有限公司,北京,12-16,音视频编码工程师,15000-25000
嘉丰永道(北京)科技有限公司,北京,12-16,U3D主程/Unity3d客户端高级开发,15000-30000
北京天助盈通技术有限公司,北京,12-16,.NET集成开发工程师,10001-15000
北京优特鑫达科技有限公司,北京,12-16,JAVA软件工程师,4001-6000
北京微光互联科技有限公司,北京 - 昌平区,12-16,产品测试工程师,4000-8000
北京优脉互动科技有限公司,北京,12-16,SLG手游服务器端主程序,20001-30000
博隆建亚科技（北京）有限公司,北京,12-16,大数据平台工程师,8001-10000
牟特科技(北京)有限公司,北京,12-16,电控硬件工程师,20001-30000
北京龙基高科生物科技有限公司,北京,12-16,软件工程师,9000-12000
航天图景(北京)科技有限公司,北京,12-16,C++研发工程师（中高级）,10001-15000
航天图景(北京)科技有限公司,北京 - 顺义区,12-16,算法策略工程师,15000-28000
航天图景(北京)科技有限公司,北京 - 顺义区,12-16,数据分析师,20001-30000
航天图景(北京)科技有限公司,北京 - 顺义区,12-16,数据库内核开发,18000-35000
航天图景(北京)科技有限公司,北京,12-16,计算机视觉算法工程师,10001-15000
航天图景(北京)科技有限公司,北京,12-16,图像数据处理,3000-6000
北京并行科技股份有限公司,北京,12-16,C研发工程师,10001-15000
北京海硅信息技术有限公司,北京,12-16,PHP开发工程师,10001-15000
北京未来进程信息技术有限公司,北京,12-16,JAVA开发工程师,15001-20000
工银瑞信基金管理有限公司,北京,12-16,系统开发经理,10001-15000
北京蛙视通信技术股份有限公司,北京,12-16,软件研发部 / C++工程师,10001-15000
北京蛙视通信技术股份有限公司,北京,12-16,软件研发部 / 视频系统架构师,15001-20000
瑞泰凯博(北京)科技有限公司,北京,12-16,软件研发工程师,6001-8000
北京金源万博科技有限公司,北京,12-16,计算机实习生,4001-6000
北京金源万博科技有限公司,北京,12-16,UI设计、美工,4001-6000
北京恒昌利通投资管理有限公司,北京,12-16,高级Java开发工程师,面议
北京恒昌利通投资管理有限公司,北京 - 朝阳区,12-16,中级EBS工程师,面议
北京蜜蜂汇金科技有限公司,北京,12-16,大数据研发工程师,25000-35000
北京奥金智策传媒科技有限公司,北京,12-16,HTML5工程师,10001-15000
北京奥金智策传媒科技有限公司,北京,12-16,微信开发工程师,10001-15000
北京奥金智策传媒科技有限公司,北京,12-16,JAVA开发工程师,10001-15000
北京锐驰信安技术有限公司,北京,12-16,LINUX C研发工程师,20000-30000
北京锐驰信安技术有限公司,北京,12-16,JAVA研发工程师,20001-30000
北京信邦通达投资管理合伙企业(有限合伙),北京,12-16,java工程师,10000-20000
北京锐驰信安技术有限公司,北京,12-16,WEB前端研发工程师,20000-30000
北京锐驰信安技术有限公司,北京,12-16,C# 研发工程师,20001-30000
北京锐驰信安技术有限公司,北京,12-16,Windows C++研发工程师,20000-30000
北京锐驰信安技术有限公司,北京,12-16,算法工程师,20000-30000
